target,horizon,model,feature_set,samples,MAE,RMSE,sMAPE,nMAE,nRMSE,best_baseline,best_baseline_MAE,relative_MAE_difference_pct,rts_day_ahead_MAE
pv,1,linear_regression,combined_v1,1464,68.88306288369391,94.81567421378801,111.60760329066673,0.1665851798150931,0.22929999737180895,H1_DAILY_SEASONAL_PERSISTENCE,33.7650956284153,-104.00671640842262,
pv,1,random_forest,combined_v1,1464,25.52303369296178,51.00745007396633,105.20824314611433,0.06172430462837621,0.12335521805742043,H1_DAILY_SEASONAL_PERSISTENCE,33.7650956284153,24.410006197397966,
pv,1,ridge,combined_v1,1464,68.88766041898963,94.81385558052087,111.6095040868196,0.16659629838636275,0.22929559923187232,H1_DAILY_SEASONAL_PERSISTENCE,33.7650956284153,-104.02033264498334,
pv,24,extra_trees,combined_v1,1464,38.98978544210114,78.190523383503,105.66709212099695,0.09429198045085552,0.18909412346645924,H24_DAILY_PERSISTENCE,33.7650956284153,-15.473641393418573,48.795446265938075
pv,24,hist_gradient_boosting,combined_v1,1464,42.0063076873785,84.605341195516,106.51003086403082,0.10158706692943185,0.2046075680486137,H24_DAILY_PERSISTENCE,33.7650956284153,-24.407489170644425,48.795446265938075
pv,24,linear_regression,combined_v1,1464,45.6591083973253,75.92261372483686,106.75284950306926,0.11042091428785458,0.18360946406722223,H24_DAILY_PERSISTENCE,33.7650956284153,-35.22576361045602,48.795446265938075
pv,24,random_forest,combined_v1,1464,36.58821073403996,76.11796057970159,104.41032852005068,0.08848406863866962,0.18408188630836006,H24_DAILY_PERSISTENCE,33.7650956284153,-8.361045787321396,48.795446265938075
pv,24,ridge,combined_v1,1464,45.69962151221202,75.94778813739022,106.76428082450255,0.11051889025242034,0.18367034527468276,H24_DAILY_PERSISTENCE,33.7650956284153,-35.34574880265737,48.795446265938075
wind,1,extra_trees,combined_v1,1464,72.01173622614155,118.82681280158904,21.522708047063983,0.11355260038649238,0.18737353515385932,H1_PERSISTENCE,79.22726548269581,9.107381420516425,
wind,1,hist_gradient_boosting,combined_v1,1464,78.04695133651131,124.35545747680408,27.21907142872336,0.12306930426823488,0.19609144715520477,H1_PERSISTENCE,79.22726548269581,1.4897827648012096,
wind,1,linear_regression,combined_v1,1464,72.79132743127002,116.50690215629399,26.187297216745858,0.11478190845792646,0.1837153552481521,H1_PERSISTENCE,79.22726548269581,8.123387841565073,
wind,1,random_forest,combined_v1,1464,75.08444822003833,122.38602556379008,20.843842321724694,0.11839784444573895,0.19298592399013906,H1_PERSISTENCE,79.22726548269581,5.229029725331526,
wind,1,ridge,combined_v1,1464,72.82215319897809,116.51696513658207,26.21553120660665,0.11483051645247846,0.18373122318356422,H1_PERSISTENCE,79.22726548269581,8.084479812213992,
wind,24,extra_trees,combined_v1,1464,538.5307724102221,649.1344641702146,98.45783387650381,0.8491889350270646,1.023595739665861,H24_DAILY_PERSISTENCE,586.5422757285975,8.185514549439073,269.0056523224044
wind,24,hist_gradient_boosting,combined_v1,1464,513.9065004644714,676.417529692913,100.29393451493489,0.8103598460674084,1.0666173802896683,H24_DAILY_PERSISTENCE,586.5422757285975,12.383723777437627,269.0056523224044
wind,24,linear_regression,combined_v1,1464,531.0504070431097,635.9041971927503,98.89959640973892,0.8373934280195787,1.0027334289116698,H24_DAILY_PERSISTENCE,586.5422757285975,9.460847236724126,269.0056523224044
wind,24,random_forest,combined_v1,1464,541.1005148441197,712.2738264606982,98.76917352513313,0.8532410652906127,1.1231578270499802,H24_DAILY_PERSISTENCE,586.5422757285975,7.747397376946171,269.0056523224044
wind,24,ridge,combined_v1,1464,531.0396085959977,635.9028963817977,98.89994070346403,0.8373764003541737,1.0027313777117681,H24_DAILY_PERSISTENCE,586.5422757285975,9.46268827147282,269.0056523224044
