resource_type,generator_id,source_identifier,bus_id,region,capacity,timeseries_file,timeseries_column,mapping_status,evidence_source,notes
pv,314_PV_3,314_PV_3,314,3,92.7,RTS_Data/timeseries_data_files/PV/DAY_AHEAD_pv.csv,314_PV_3,VERIFIED,gen.csv + bus.csv + timeseries_pointers.csv + time-series header,metadata_category=Solar PV; simulation=DAY_AHEAD
pv,314_PV_4,314_PV_4,314,3,51.6,RTS_Data/timeseries_data_files/PV/DAY_AHEAD_pv.csv,314_PV_4,VERIFIED,gen.csv + bus.csv + timeseries_pointers.csv + time-series header,metadata_category=Solar PV; simulation=DAY_AHEAD
pv,313_PV_2,313_PV_2,313,3,93.3,RTS_Data/timeseries_data_files/PV/DAY_AHEAD_pv.csv,313_PV_2,VERIFIED,gen.csv + bus.csv + timeseries_pointers.csv + time-series header,metadata_category=Solar PV; simulation=DAY_AHEAD
pv,310_PV_1,310_PV_1,310,3,51.7,RTS_Data/timeseries_data_files/PV/DAY_AHEAD_pv.csv,310_PV_1,VERIFIED,gen.csv + bus.csv + timeseries_pointers.csv + time-series header,metadata_category=Solar PV; simulation=DAY_AHEAD
pv,324_PV_1,324_PV_1,324,3,49.7,RTS_Data/timeseries_data_files/PV/DAY_AHEAD_pv.csv,324_PV_1,VERIFIED,gen.csv + bus.csv + timeseries_pointers.csv + time-series header,metadata_category=Solar PV; simulation=DAY_AHEAD
pv,312_PV_1,312_PV_1,312,3,94.1,RTS_Data/timeseries_data_files/PV/DAY_AHEAD_pv.csv,312_PV_1,VERIFIED,gen.csv + bus.csv + timeseries_pointers.csv + time-series header,metadata_category=Solar PV; simulation=DAY_AHEAD
pv,310_PV_2,310_PV_2,310,3,51.6,RTS_Data/timeseries_data_files/PV/DAY_AHEAD_pv.csv,310_PV_2,VERIFIED,gen.csv + bus.csv + timeseries_pointers.csv + time-series header,metadata_category=Solar PV; simulation=DAY_AHEAD
pv,324_PV_2,324_PV_2,324,3,51.6,RTS_Data/timeseries_data_files/PV/DAY_AHEAD_pv.csv,324_PV_2,VERIFIED,gen.csv + bus.csv + timeseries_pointers.csv + time-series header,metadata_category=Solar PV; simulation=DAY_AHEAD
pv,324_PV_3,324_PV_3,324,3,51,RTS_Data/timeseries_data_files/PV/DAY_AHEAD_pv.csv,324_PV_3,VERIFIED,gen.csv + bus.csv + timeseries_pointers.csv + time-series header,metadata_category=Solar PV; simulation=DAY_AHEAD
pv,113_PV_1,113_PV_1,113,1,93.6,RTS_Data/timeseries_data_files/PV/DAY_AHEAD_pv.csv,113_PV_1,VERIFIED,gen.csv + bus.csv + timeseries_pointers.csv + time-series header,metadata_category=Solar PV; simulation=DAY_AHEAD
pv,319_PV_1,319_PV_1,319,3,188.2,RTS_Data/timeseries_data_files/PV/DAY_AHEAD_pv.csv,319_PV_1,VERIFIED,gen.csv + bus.csv + timeseries_pointers.csv + time-series header,metadata_category=Solar PV; simulation=DAY_AHEAD
pv,215_PV_1,215_PV_1,215,2,125.1,RTS_Data/timeseries_data_files/PV/DAY_AHEAD_pv.csv,215_PV_1,VERIFIED,gen.csv + bus.csv + timeseries_pointers.csv + time-series header,metadata_category=Solar PV; simulation=DAY_AHEAD
pv,102_PV_1,102_PV_1,102,1,25.6,RTS_Data/timeseries_data_files/PV/DAY_AHEAD_pv.csv,102_PV_1,VERIFIED,gen.csv + bus.csv + timeseries_pointers.csv + time-series header,metadata_category=Solar PV; simulation=DAY_AHEAD
pv,101_PV_1,101_PV_1,101,1,25.9,RTS_Data/timeseries_data_files/PV/DAY_AHEAD_pv.csv,101_PV_1,VERIFIED,gen.csv + bus.csv + timeseries_pointers.csv + time-series header,metadata_category=Solar PV; simulation=DAY_AHEAD
pv,102_PV_2,102_PV_2,102,1,25.3,RTS_Data/timeseries_data_files/PV/DAY_AHEAD_pv.csv,102_PV_2,VERIFIED,gen.csv + bus.csv + timeseries_pointers.csv + time-series header,metadata_category=Solar PV; simulation=DAY_AHEAD
pv,104_PV_1,104_PV_1,104,1,26.8,RTS_Data/timeseries_data_files/PV/DAY_AHEAD_pv.csv,104_PV_1,VERIFIED,gen.csv + bus.csv + timeseries_pointers.csv + time-series header,metadata_category=Solar PV; simulation=DAY_AHEAD
pv,101_PV_2,101_PV_2,101,1,26.7,RTS_Data/timeseries_data_files/PV/DAY_AHEAD_pv.csv,101_PV_2,VERIFIED,gen.csv + bus.csv + timeseries_pointers.csv + time-series header,metadata_category=Solar PV; simulation=DAY_AHEAD
pv,101_PV_3,101_PV_3,101,1,26.2,RTS_Data/timeseries_data_files/PV/DAY_AHEAD_pv.csv,101_PV_3,VERIFIED,gen.csv + bus.csv + timeseries_pointers.csv + time-series header,metadata_category=Solar PV; simulation=DAY_AHEAD
pv,101_PV_4,101_PV_4,101,1,25.8,RTS_Data/timeseries_data_files/PV/DAY_AHEAD_pv.csv,101_PV_4,VERIFIED,gen.csv + bus.csv + timeseries_pointers.csv + time-series header,metadata_category=Solar PV; simulation=DAY_AHEAD
pv,103_PV_1,103_PV_1,103,1,61.5,RTS_Data/timeseries_data_files/PV/DAY_AHEAD_pv.csv,103_PV_1,VERIFIED,gen.csv + bus.csv + timeseries_pointers.csv + time-series header,metadata_category=Solar PV; simulation=DAY_AHEAD
pv,119_PV_1,119_PV_1,119,1,66.6,RTS_Data/timeseries_data_files/PV/DAY_AHEAD_pv.csv,119_PV_1,VERIFIED,gen.csv + bus.csv + timeseries_pointers.csv + time-series header,metadata_category=Solar PV; simulation=DAY_AHEAD
pv,320_PV_1,320_PV_1,320,3,51.6,RTS_Data/timeseries_data_files/PV/REAL_TIME_pv.csv,320_PV_1,VERIFIED,gen.csv + bus.csv + timeseries_pointers.csv + time-series header,metadata_category=Solar PV; simulation=REAL_TIME
pv,314_PV_1,314_PV_1,314,3,51.6,RTS_Data/timeseries_data_files/PV/REAL_TIME_pv.csv,314_PV_1,VERIFIED,gen.csv + bus.csv + timeseries_pointers.csv + time-series header,metadata_category=Solar PV; simulation=REAL_TIME
pv,314_PV_2,314_PV_2,314,3,51.6,RTS_Data/timeseries_data_files/PV/REAL_TIME_pv.csv,314_PV_2,VERIFIED,gen.csv + bus.csv + timeseries_pointers.csv + time-series header,metadata_category=Solar PV; simulation=REAL_TIME
pv,313_PV_1,313_PV_1,313,3,95.1,RTS_Data/timeseries_data_files/PV/REAL_TIME_pv.csv,313_PV_1,VERIFIED,gen.csv + bus.csv + timeseries_pointers.csv + time-series header,metadata_category=Solar PV; simulation=REAL_TIME
pv,314_PV_3,314_PV_3,314,3,92.7,RTS_Data/timeseries_data_files/PV/REAL_TIME_pv.csv,314_PV_3,VERIFIED,gen.csv + bus.csv + timeseries_pointers.csv + time-series header,metadata_category=Solar PV; simulation=REAL_TIME
pv,314_PV_4,314_PV_4,314,3,51.6,RTS_Data/timeseries_data_files/PV/REAL_TIME_pv.csv,314_PV_4,VERIFIED,gen.csv + bus.csv + timeseries_pointers.csv + time-series header,metadata_category=Solar PV; simulation=REAL_TIME
pv,313_PV_2,313_PV_2,313,3,93.3,RTS_Data/timeseries_data_files/PV/REAL_TIME_pv.csv,313_PV_2,VERIFIED,gen.csv + bus.csv + timeseries_pointers.csv + time-series header,metadata_category=Solar PV; simulation=REAL_TIME
pv,310_PV_1,310_PV_1,310,3,51.7,RTS_Data/timeseries_data_files/PV/REAL_TIME_pv.csv,310_PV_1,VERIFIED,gen.csv + bus.csv + timeseries_pointers.csv + time-series header,metadata_category=Solar PV; simulation=REAL_TIME
pv,324_PV_1,324_PV_1,324,3,49.7,RTS_Data/timeseries_data_files/PV/REAL_TIME_pv.csv,324_PV_1,VERIFIED,gen.csv + bus.csv + timeseries_pointers.csv + time-series header,metadata_category=Solar PV; simulation=REAL_TIME
pv,312_PV_1,312_PV_1,312,3,94.1,RTS_Data/timeseries_data_files/PV/REAL_TIME_pv.csv,312_PV_1,VERIFIED,gen.csv + bus.csv + timeseries_pointers.csv + time-series header,metadata_category=Solar PV; simulation=REAL_TIME
pv,310_PV_2,310_PV_2,310,3,51.6,RTS_Data/timeseries_data_files/PV/REAL_TIME_pv.csv,310_PV_2,VERIFIED,gen.csv + bus.csv + timeseries_pointers.csv + time-series header,metadata_category=Solar PV; simulation=REAL_TIME
pv,324_PV_2,324_PV_2,324,3,51.6,RTS_Data/timeseries_data_files/PV/REAL_TIME_pv.csv,324_PV_2,VERIFIED,gen.csv + bus.csv + timeseries_pointers.csv + time-series header,metadata_category=Solar PV; simulation=REAL_TIME
pv,324_PV_3,324_PV_3,324,3,51,RTS_Data/timeseries_data_files/PV/REAL_TIME_pv.csv,324_PV_3,VERIFIED,gen.csv + bus.csv + timeseries_pointers.csv + time-series header,metadata_category=Solar PV; simulation=REAL_TIME
pv,113_PV_1,113_PV_1,113,1,93.6,RTS_Data/timeseries_data_files/PV/REAL_TIME_pv.csv,113_PV_1,VERIFIED,gen.csv + bus.csv + timeseries_pointers.csv + time-series header,metadata_category=Solar PV; simulation=REAL_TIME
pv,319_PV_1,319_PV_1,319,3,188.2,RTS_Data/timeseries_data_files/PV/REAL_TIME_pv.csv,319_PV_1,VERIFIED,gen.csv + bus.csv + timeseries_pointers.csv + time-series header,metadata_category=Solar PV; simulation=REAL_TIME
pv,215_PV_1,215_PV_1,215,2,125.1,RTS_Data/timeseries_data_files/PV/REAL_TIME_pv.csv,215_PV_1,VERIFIED,gen.csv + bus.csv + timeseries_pointers.csv + time-series header,metadata_category=Solar PV; simulation=REAL_TIME
pv,102_PV_1,102_PV_1,102,1,25.6,RTS_Data/timeseries_data_files/PV/REAL_TIME_pv.csv,102_PV_1,VERIFIED,gen.csv + bus.csv + timeseries_pointers.csv + time-series header,metadata_category=Solar PV; simulation=REAL_TIME
pv,101_PV_1,101_PV_1,101,1,25.9,RTS_Data/timeseries_data_files/PV/REAL_TIME_pv.csv,101_PV_1,VERIFIED,gen.csv + bus.csv + timeseries_pointers.csv + time-series header,metadata_category=Solar PV; simulation=REAL_TIME
pv,102_PV_2,102_PV_2,102,1,25.3,RTS_Data/timeseries_data_files/PV/REAL_TIME_pv.csv,102_PV_2,VERIFIED,gen.csv + bus.csv + timeseries_pointers.csv + time-series header,metadata_category=Solar PV; simulation=REAL_TIME
pv,104_PV_1,104_PV_1,104,1,26.8,RTS_Data/timeseries_data_files/PV/REAL_TIME_pv.csv,104_PV_1,VERIFIED,gen.csv + bus.csv + timeseries_pointers.csv + time-series header,metadata_category=Solar PV; simulation=REAL_TIME
pv,101_PV_2,101_PV_2,101,1,26.7,RTS_Data/timeseries_data_files/PV/REAL_TIME_pv.csv,101_PV_2,VERIFIED,gen.csv + bus.csv + timeseries_pointers.csv + time-series header,metadata_category=Solar PV; simulation=REAL_TIME
pv,101_PV_3,101_PV_3,101,1,26.2,RTS_Data/timeseries_data_files/PV/REAL_TIME_pv.csv,101_PV_3,VERIFIED,gen.csv + bus.csv + timeseries_pointers.csv + time-series header,metadata_category=Solar PV; simulation=REAL_TIME
pv,101_PV_4,101_PV_4,101,1,25.8,RTS_Data/timeseries_data_files/PV/REAL_TIME_pv.csv,101_PV_4,VERIFIED,gen.csv + bus.csv + timeseries_pointers.csv + time-series header,metadata_category=Solar PV; simulation=REAL_TIME
pv,103_PV_1,103_PV_1,103,1,61.5,RTS_Data/timeseries_data_files/PV/REAL_TIME_pv.csv,103_PV_1,VERIFIED,gen.csv + bus.csv + timeseries_pointers.csv + time-series header,metadata_category=Solar PV; simulation=REAL_TIME
pv,119_PV_1,119_PV_1,119,1,66.6,RTS_Data/timeseries_data_files/PV/REAL_TIME_pv.csv,119_PV_1,VERIFIED,gen.csv + bus.csv + timeseries_pointers.csv + time-series header,metadata_category=Solar PV; simulation=REAL_TIME
rtpv,308_RTPV_1,308_RTPV_1,308,3,100.9,RTS_Data/timeseries_data_files/RTPV/DAY_AHEAD_rtpv.csv,308_RTPV_1,VERIFIED,gen.csv + bus.csv + timeseries_pointers.csv + time-series header,metadata_category=Solar RTPV; simulation=DAY_AHEAD
rtpv,313_RTPV_1,313_RTPV_1,313,3,101.7,RTS_Data/timeseries_data_files/RTPV/DAY_AHEAD_rtpv.csv,313_RTPV_1,VERIFIED,gen.csv + bus.csv + timeseries_pointers.csv + time-series header,metadata_category=Solar RTPV; simulation=DAY_AHEAD
rtpv,313_RTPV_2,313_RTPV_2,313,3,63.1,RTS_Data/timeseries_data_files/RTPV/DAY_AHEAD_rtpv.csv,313_RTPV_2,VERIFIED,gen.csv + bus.csv + timeseries_pointers.csv + time-series header,metadata_category=Solar RTPV; simulation=DAY_AHEAD
rtpv,313_RTPV_3,313_RTPV_3,313,3,65.4,RTS_Data/timeseries_data_files/RTPV/DAY_AHEAD_rtpv.csv,313_RTPV_3,VERIFIED,gen.csv + bus.csv + timeseries_pointers.csv + time-series header,metadata_category=Solar RTPV; simulation=DAY_AHEAD
rtpv,313_RTPV_4,313_RTPV_4,313,3,67,RTS_Data/timeseries_data_files/RTPV/DAY_AHEAD_rtpv.csv,313_RTPV_4,VERIFIED,gen.csv + bus.csv + timeseries_pointers.csv + time-series header,metadata_category=Solar RTPV; simulation=DAY_AHEAD
rtpv,313_RTPV_5,313_RTPV_5,313,3,64.8,RTS_Data/timeseries_data_files/RTPV/DAY_AHEAD_rtpv.csv,313_RTPV_5,VERIFIED,gen.csv + bus.csv + timeseries_pointers.csv + time-series header,metadata_category=Solar RTPV; simulation=DAY_AHEAD
rtpv,313_RTPV_6,313_RTPV_6,313,3,63.8,RTS_Data/timeseries_data_files/RTPV/DAY_AHEAD_rtpv.csv,313_RTPV_6,VERIFIED,gen.csv + bus.csv + timeseries_pointers.csv + time-series header,metadata_category=Solar RTPV; simulation=DAY_AHEAD
rtpv,313_RTPV_7,313_RTPV_7,313,3,64.1,RTS_Data/timeseries_data_files/RTPV/DAY_AHEAD_rtpv.csv,313_RTPV_7,VERIFIED,gen.csv + bus.csv + timeseries_pointers.csv + time-series header,metadata_category=Solar RTPV; simulation=DAY_AHEAD
rtpv,313_RTPV_8,313_RTPV_8,313,3,66.6,RTS_Data/timeseries_data_files/RTPV/DAY_AHEAD_rtpv.csv,313_RTPV_8,VERIFIED,gen.csv + bus.csv + timeseries_pointers.csv + time-series header,metadata_category=Solar RTPV; simulation=DAY_AHEAD
rtpv,313_RTPV_9,313_RTPV_9,313,3,62.4,RTS_Data/timeseries_data_files/RTPV/DAY_AHEAD_rtpv.csv,313_RTPV_9,VERIFIED,gen.csv + bus.csv + timeseries_pointers.csv + time-series header,metadata_category=Solar RTPV; simulation=DAY_AHEAD
rtpv,313_RTPV_10,313_RTPV_10,313,3,66.9,RTS_Data/timeseries_data_files/RTPV/DAY_AHEAD_rtpv.csv,313_RTPV_10,VERIFIED,gen.csv + bus.csv + timeseries_pointers.csv + time-series header,metadata_category=Solar RTPV; simulation=DAY_AHEAD
rtpv,313_RTPV_11,313_RTPV_11,313,3,65.2,RTS_Data/timeseries_data_files/RTPV/DAY_AHEAD_rtpv.csv,313_RTPV_11,VERIFIED,gen.csv + bus.csv + timeseries_pointers.csv + time-series header,metadata_category=Solar RTPV; simulation=DAY_AHEAD
rtpv,313_RTPV_12,313_RTPV_12,313,3,27.8,RTS_Data/timeseries_data_files/RTPV/DAY_AHEAD_rtpv.csv,313_RTPV_12,VERIFIED,gen.csv + bus.csv + timeseries_pointers.csv + time-series header,metadata_category=Solar RTPV; simulation=DAY_AHEAD
rtpv,320_RTPV_1,320_RTPV_1,320,3,27.3,RTS_Data/timeseries_data_files/RTPV/DAY_AHEAD_rtpv.csv,320_RTPV_1,VERIFIED,gen.csv + bus.csv + timeseries_pointers.csv + time-series header,metadata_category=Solar RTPV; simulation=DAY_AHEAD
rtpv,320_RTPV_2,320_RTPV_2,320,3,27,RTS_Data/timeseries_data_files/RTPV/DAY_AHEAD_rtpv.csv,320_RTPV_2,VERIFIED,gen.csv + bus.csv + timeseries_pointers.csv + time-series header,metadata_category=Solar RTPV; simulation=DAY_AHEAD
rtpv,320_RTPV_3,320_RTPV_3,320,3,28.3,RTS_Data/timeseries_data_files/RTPV/DAY_AHEAD_rtpv.csv,320_RTPV_3,VERIFIED,gen.csv + bus.csv + timeseries_pointers.csv + time-series header,metadata_category=Solar RTPV; simulation=DAY_AHEAD
rtpv,313_RTPV_13,313_RTPV_13,313,3,27.2,RTS_Data/timeseries_data_files/RTPV/DAY_AHEAD_rtpv.csv,313_RTPV_13,VERIFIED,gen.csv + bus.csv + timeseries_pointers.csv + time-series header,metadata_category=Solar RTPV; simulation=DAY_AHEAD
rtpv,320_RTPV_4,320_RTPV_4,320,3,27,RTS_Data/timeseries_data_files/RTPV/DAY_AHEAD_rtpv.csv,320_RTPV_4,VERIFIED,gen.csv + bus.csv + timeseries_pointers.csv + time-series header,metadata_category=Solar RTPV; simulation=DAY_AHEAD
rtpv,320_RTPV_5,320_RTPV_5,320,3,28.2,RTS_Data/timeseries_data_files/RTPV/DAY_AHEAD_rtpv.csv,320_RTPV_5,VERIFIED,gen.csv + bus.csv + timeseries_pointers.csv + time-series header,metadata_category=Solar RTPV; simulation=DAY_AHEAD
rtpv,118_RTPV_1,118_RTPV_1,118,1,9.3,RTS_Data/timeseries_data_files/RTPV/DAY_AHEAD_rtpv.csv,118_RTPV_1,VERIFIED,gen.csv + bus.csv + timeseries_pointers.csv + time-series header,metadata_category=Solar RTPV; simulation=DAY_AHEAD
rtpv,118_RTPV_2,118_RTPV_2,118,1,9.7,RTS_Data/timeseries_data_files/RTPV/DAY_AHEAD_rtpv.csv,118_RTPV_2,VERIFIED,gen.csv + bus.csv + timeseries_pointers.csv + time-series header,metadata_category=Solar RTPV; simulation=DAY_AHEAD
rtpv,118_RTPV_3,118_RTPV_3,118,1,9.4,RTS_Data/timeseries_data_files/RTPV/DAY_AHEAD_rtpv.csv,118_RTPV_3,VERIFIED,gen.csv + bus.csv + timeseries_pointers.csv + time-series header,metadata_category=Solar RTPV; simulation=DAY_AHEAD
rtpv,118_RTPV_4,118_RTPV_4,118,1,9.1,RTS_Data/timeseries_data_files/RTPV/DAY_AHEAD_rtpv.csv,118_RTPV_4,VERIFIED,gen.csv + bus.csv + timeseries_pointers.csv + time-series header,metadata_category=Solar RTPV; simulation=DAY_AHEAD
rtpv,118_RTPV_5,118_RTPV_5,118,1,9.1,RTS_Data/timeseries_data_files/RTPV/DAY_AHEAD_rtpv.csv,118_RTPV_5,VERIFIED,gen.csv + bus.csv + timeseries_pointers.csv + time-series header,metadata_category=Solar RTPV; simulation=DAY_AHEAD
rtpv,118_RTPV_6,118_RTPV_6,118,1,9.7,RTS_Data/timeseries_data_files/RTPV/DAY_AHEAD_rtpv.csv,118_RTPV_6,VERIFIED,gen.csv + bus.csv + timeseries_pointers.csv + time-series header,metadata_category=Solar RTPV; simulation=DAY_AHEAD
rtpv,320_RTPV_6,320_RTPV_6,320,3,9.4,RTS_Data/timeseries_data_files/RTPV/DAY_AHEAD_rtpv.csv,320_RTPV_6,VERIFIED,gen.csv + bus.csv + timeseries_pointers.csv + time-series header,metadata_category=Solar RTPV; simulation=DAY_AHEAD
rtpv,118_RTPV_7,118_RTPV_7,118,1,11.8,RTS_Data/timeseries_data_files/RTPV/DAY_AHEAD_rtpv.csv,118_RTPV_7,VERIFIED,gen.csv + bus.csv + timeseries_pointers.csv + time-series header,metadata_category=Solar RTPV; simulation=DAY_AHEAD
rtpv,118_RTPV_8,118_RTPV_8,118,1,11.2,RTS_Data/timeseries_data_files/RTPV/DAY_AHEAD_rtpv.csv,118_RTPV_8,VERIFIED,gen.csv + bus.csv + timeseries_pointers.csv + time-series header,metadata_category=Solar RTPV; simulation=DAY_AHEAD
rtpv,118_RTPV_9,118_RTPV_9,118,1,10.3,RTS_Data/timeseries_data_files/RTPV/DAY_AHEAD_rtpv.csv,118_RTPV_9,VERIFIED,gen.csv + bus.csv + timeseries_pointers.csv + time-series header,metadata_category=Solar RTPV; simulation=DAY_AHEAD
rtpv,118_RTPV_10,118_RTPV_10,118,1,4.5,RTS_Data/timeseries_data_files/RTPV/DAY_AHEAD_rtpv.csv,118_RTPV_10,VERIFIED,gen.csv + bus.csv + timeseries_pointers.csv + time-series header,metadata_category=Solar RTPV; simulation=DAY_AHEAD
rtpv,213_RTPV_1,213_RTPV_1,213,2,13.2,RTS_Data/timeseries_data_files/RTPV/DAY_AHEAD_rtpv.csv,213_RTPV_1,VERIFIED,gen.csv + bus.csv + timeseries_pointers.csv + time-series header,metadata_category=Solar RTPV; simulation=DAY_AHEAD
rtpv,308_RTPV_1,308_RTPV_1,308,3,100.9,RTS_Data/timeseries_data_files/RTPV/REAL_TIME_rtpv.csv,308_RTPV_1,VERIFIED,gen.csv + bus.csv + timeseries_pointers.csv + time-series header,metadata_category=Solar RTPV; simulation=REAL_TIME
rtpv,313_RTPV_1,313_RTPV_1,313,3,101.7,RTS_Data/timeseries_data_files/RTPV/REAL_TIME_rtpv.csv,313_RTPV_1,VERIFIED,gen.csv + bus.csv + timeseries_pointers.csv + time-series header,metadata_category=Solar RTPV; simulation=REAL_TIME
rtpv,313_RTPV_2,313_RTPV_2,313,3,63.1,RTS_Data/timeseries_data_files/RTPV/REAL_TIME_rtpv.csv,313_RTPV_2,VERIFIED,gen.csv + bus.csv + timeseries_pointers.csv + time-series header,metadata_category=Solar RTPV; simulation=REAL_TIME
rtpv,313_RTPV_3,313_RTPV_3,313,3,65.4,RTS_Data/timeseries_data_files/RTPV/REAL_TIME_rtpv.csv,313_RTPV_3,VERIFIED,gen.csv + bus.csv + timeseries_pointers.csv + time-series header,metadata_category=Solar RTPV; simulation=REAL_TIME
rtpv,313_RTPV_4,313_RTPV_4,313,3,67,RTS_Data/timeseries_data_files/RTPV/REAL_TIME_rtpv.csv,313_RTPV_4,VERIFIED,gen.csv + bus.csv + timeseries_pointers.csv + time-series header,metadata_category=Solar RTPV; simulation=REAL_TIME
rtpv,313_RTPV_5,313_RTPV_5,313,3,64.8,RTS_Data/timeseries_data_files/RTPV/REAL_TIME_rtpv.csv,313_RTPV_5,VERIFIED,gen.csv + bus.csv + timeseries_pointers.csv + time-series header,metadata_category=Solar RTPV; simulation=REAL_TIME
rtpv,313_RTPV_6,313_RTPV_6,313,3,63.8,RTS_Data/timeseries_data_files/RTPV/REAL_TIME_rtpv.csv,313_RTPV_6,VERIFIED,gen.csv + bus.csv + timeseries_pointers.csv + time-series header,metadata_category=Solar RTPV; simulation=REAL_TIME
rtpv,313_RTPV_7,313_RTPV_7,313,3,64.1,RTS_Data/timeseries_data_files/RTPV/REAL_TIME_rtpv.csv,313_RTPV_7,VERIFIED,gen.csv + bus.csv + timeseries_pointers.csv + time-series header,metadata_category=Solar RTPV; simulation=REAL_TIME
rtpv,313_RTPV_8,313_RTPV_8,313,3,66.6,RTS_Data/timeseries_data_files/RTPV/REAL_TIME_rtpv.csv,313_RTPV_8,VERIFIED,gen.csv + bus.csv + timeseries_pointers.csv + time-series header,metadata_category=Solar RTPV; simulation=REAL_TIME
rtpv,313_RTPV_9,313_RTPV_9,313,3,62.4,RTS_Data/timeseries_data_files/RTPV/REAL_TIME_rtpv.csv,313_RTPV_9,VERIFIED,gen.csv + bus.csv + timeseries_pointers.csv + time-series header,metadata_category=Solar RTPV; simulation=REAL_TIME
